respondent_id,collector_id,start_date,end_date,ip_address,email_address,first_name,last_name,unique_id,post_knowledge,post_research_1,post_research_2,post_research_3,post_research_4,post_research_5,post_research_6,post_research_7,post_research_8,post_ability_1,post_ability_2,post_ability_3,post_ability_4,post_ability_5,post_ability_6,post_ethics_1,post_ethics_2,post_ethics_3,post_ethics_4,post_ethics_5,post_ethics_1_oe,post_ethics_2_oe,post_ethics_3_oe,post_ethics_4_oe,post_ethics_5_oe,gender,ethnicity,first_gen,pre_knowledge,pre_research_1,pre_research_2,pre_research_3,pre_research_4,pre_research_5,pre_research_6,pre_research_7,pre_research_8,pre_ability_1,pre_ability_2,pre_ability_3,pre_ability_4,pre_ability_5,pre_ability_6,pre_ethics_1,pre_ethics_2,pre_ethics_3,pre_ethics_4,pre_ethics_5
114628000036,431822954,2024-06-16,2024-06-17,205.172.255.142,calvin.anderson@miller.info,Irvin,Ortiz,24290036,Extremely knowledgeable,Somewhat confident,Very confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Extremely confident,Not at all confident,Extensive,Good,Extensive,Extensive,Moderate,Good,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,NA,NA,NA,NA,NA,Male,Native Hawaiian or other Pacific Islander,Yes,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Very confident,Somewhat confident,Not at all confident,Not at all confident,Extremely confident,Minimal,Minimal,Slight,Moderate,Minimal,Extensive,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree
114628000037,431822954,2024-06-25,2024-06-26,121.70.77.248,jgraham@and.com,Ferris,Swaniawski,24290037,A little knowledgeable,Very confident,Extremely confident,Very confident,Slightly confident,Extremely confident,Extremely confident,Extremely confident,Somewhat confident,Extensive,Extensive,Extensive,Extensive,Minimal,Extensive,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,NA,Male,Asian,No,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Slightly confident,Not at all confident,Slightly confident,Very confident,Somewhat confident,Moderate,Minimal,Slight,Slight,Minimal,Minimal,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree
114628000038,431822954,2024-06-21,2024-06-22,97.152.246.167,edwina.lueilwitz@gmail.com,Eddie,Shanahan,24290038,Very knowledgeable,Very confident,Extremely confident,Very confident,Not at all confident,Somewhat confident,Extremely confident,Somewhat confident,Very confident,Good,Good,Extensive,Extensive,Good,Good,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,NA,Local prepare nothing itself with rule. Control pick base above. Seven civil point school his agency material.,NA,Base family happy property. Heavy summer point hotel beat nothing. See writer last article actually.,NA,Male,Asian,Yes,Not knowledgeable at all,Somewhat confident,Slightly confident,Not at all confident,Somewhat confident,Very confident,Not at all confident,Not at all confident,Somewhat confident,Good,Good,Slight,Slight,Minimal,Good,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree
114628000039,431822954,2024-06-25,2024-06-26,99.13.68.39,india00@williamson.com,Willard,Strosin,24290039,Very knowledgeable,Somewhat confident,Extremely confident,Slightly confident,Slightly confident,Very confident,Slightly confident,Extremely confident,Extremely confident,Good,Extensive,Slight,Extensive,Good,Extensive,Strongly agree,Agree,Disagree,Strongly disagree,Agree,NA,NA,Ground make order. Simple new result class them television game.,Quickly factor kid international discover nation old. Exactly ask section include. Drop whom material law.,NA,Male,Asian,No,Somewhat knowledgeable,Somewhat confident,Slightly confident,Very confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Very confident,Slight,Moderate,Slight,Moderate,Minimal,Minimal,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree
114628000040,431822954,2024-06-05,2024-06-06,185.199.76.224,kunze.rosia@crooks.com,Madison,Quigley,24290040,Extremely knowledgeable,Somewhat confident,Extremely confident,Extremely confident,Slightly confident,Somewhat confident,Extremely confident,Very confident,Somewhat confident,Good,Extensive,Extensive,Good,Moderate,Extensive,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,NA,NA,NA,NA,NA,Male,Native Hawaiian or other Pacific Islander,No,Somewhat knowledgeable,Very confident,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Extensive,Slight,Slight,Slight,Slight,Moderate,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree
114628000041,431822954,2024-06-08,2024-06-09,32.147.65.23,fvandervort@hotmail.com,Porfirio,Torp,24290041,Very knowledgeable,Somewhat confident,Not at all confident,Somewhat confident,Extremely confident,Slightly confident,Very confident,Extremely confident,Extremely confident,Extensive,Good,Extensive,Extensive,Slight,Good,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,NA,NA,Bill name wear despite girl response. Up Congress building interesting.,NA,NA,Male,Black,I'm not sure,Very knowledgeable,Extremely confident,Not at all confident,Not at all confident,Slightly confident,Not at all confident,Extremely confident,Very confident,Very confident,Moderate,Good,Slight,Slight,Slight,Moderate,Disagree,Disagree,Strongly disagree,Disagree,Agree
114628000042,431822954,2024-06-07,2024-06-08,20.33.39.230,steuber.verlene@gmail.com,Paris,Tillman,24290042,Extremely knowledgeable,Slightly confident,Somewhat confident,Somewhat confident,Extremely confident,Very confident,Very confident,Extremely confident,Extremely confident,Slight,Moderate,Good,Extensive,Minimal,Moderate,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,NA,NA,NA,NA,NA,Male,Hispanic or Latino,Yes,Somewhat knowledgeable,Somewhat confident,Very confident,Very confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Slightly confident,Good,Extensive,Good,Moderate,Minimal,Good,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
114628000043,431822954,2024-06-24,2024-06-25,169.30.186.91,erunte@yahoo.com,Kaycee,Emard,24290043,Extremely knowledgeable,Extremely confident,Extremely confident,Not at all confident,Slightly confident,Somewhat confident,Very confident,Extremely confident,Slightly confident,Extensive,Good,Extensive,Extensive,Slight,Good,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Time read five find left sister.,NA,NA,Method reflect none pretty under. Serious friend try fall. Decide enter any economy organization.,NA,Female,Asian,No,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Moderate,Minimal,Good,Minimal,Good,Extensive,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
114628000044,431822954,2024-06-22,2024-06-23,10.98.91.112,keshaun77@veum.info,Tate,Gorczany,24290044,A little knowledgeable,Slightly confident,Not at all confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Extremely confident,Good,Good,Moderate,Minimal,Good,Good,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Ground make order. Simple new result class them television game.,NA,NA,NA,NA,Male,Asian,No,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Somewhat confident,Not at all confident,Somewhat confident,Very confident,Slight,Minimal,Good,Extensive,Extensive,Extensive,Agree,Agree,Disagree,Strongly disagree,Strongly disagree
114628000045,431822954,2024-06-15,2024-06-16,45.48.64.8,lashunda.wisoky@and.info,Forrest,Schoen,24290045,Somewhat knowledgeable,Extremely confident,Slightly confident,Somewhat confident,Somewhat confident,Not at all confident,Somewhat confident,Extremely confident,Extremely confident,Slight,Extensive,Slight,Minimal,Extensive,Extensive,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,NA,NA,NA,NA,NA,Male,Do not wish to specify,Yes,Extremely knowledgeable,Somewhat confident,Slightly confident,Extremely confident,Slightly confident,Not at all confident,Very confident,Not at all confident,Extremely confident,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree
114628000046,431822954,2024-06-19,2024-06-20,45.30.94.140,mary.thompson@gmail.com,Tyreke,VonRueden,24290046,A little knowledgeable,Slightly confident,Very confident,Slightly confident,Extremely confident,Not at all confident,Extremely confident,Not at all confident,Extremely confident,Moderate,Extensive,Moderate,Extensive,Good,Moderate,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Society foot spring table black writer decide. Your series century always.,National father data author impact hear send. Treatment car former wait manager growth. Interesting push hard one property.,NA,NA,NA,Male,White (Non-Hispanic/Latino),Yes,Not knowledgeable at all,Somewhat confident,Somewhat confident,Slightly confident,Somewhat confident,Somewhat confident,Slightly confident,Not at all confident,Not at all confident,Moderate,Good,Slight,Minimal,Slight,Minimal,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Disagree
114628000047,431822954,2024-06-24,2024-06-25,167.118.9.5,elgie.walsh@conroy.com,Parlee,Macejkovic,24290047,Extremely knowledgeable,Slightly confident,Somewhat confident,Very confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Not at all confident,Moderate,Extensive,Extensive,Good,Extensive,Moderate,Agree,Strongly agree,Agree,Strongly agree,Disagree,NA,NA,NA,NA,I remain hand young civil yet forget.,Female,Asian,No,A little knowledgeable,Somewhat confident,Not at all confident,Not at all confident,Somewhat confident,Very confident,Very confident,Extremely confident,Extremely confident,Slight,Moderate,Moderate,Extensive,Good,Minimal,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree
114628000048,431822954,2024-06-13,2024-06-14,222.207.172.87,zlind@hudson.com,Mignon,Buckridge,24290048,Extremely knowledgeable,Extremely confident,Very confident,Slightly confident,Very confident,Somewhat confident,Extremely confident,Not at all confident,Extremely confident,Extensive,Slight,Extensive,Good,Slight,Extensive,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,Female,Asian,Yes,Not knowledgeable at all,Somewhat confident,Not at all confident,Very confident,Very confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Good,Moderate,Minimal,Minimal,Slight,Extensive,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
114628000049,431822954,2024-06-09,2024-06-10,155.84.10.223,joshuah05@yahoo.com,Treyton,Pfannerstill,24290049,Extremely knowledgeable,Somewhat confident,Extremely confident,Somewhat confident,Very confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Slight,Slight,Slight,Extensive,Extensive,Moderate,Agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,NA,NA,Learn compare north. Type walk heavy wonder point product professional especially. Pattern great up close.,NA,NA,Male,Native Hawaiian or other Pacific Islander,Yes,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Extremely confident,Not at all confident,Not at all confident,Moderate,Minimal,Slight,Minimal,Extensive,Good,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Disagree
114628000050,431822954,2024-06-24,2024-06-25,91.84.187.71,stephanie77@gerlach.com,Eben,Boehm,24290050,Somewhat knowledgeable,Extremely confident,Very confident,Not at all confident,Very confident,Extremely confident,Not at all confident,Very confident,Extremely confident,Moderate,Extensive,Good,Extensive,Extensive,Extensive,Disagree,Agree,Strongly disagree,Strongly agree,Agree,Local prepare nothing itself with rule. Control pick base above. Seven civil point school his agency material.,NA,Hope per mind peace. Drug reason yard though test ten. Organization player argue arm guess take character.,NA,NA,Male,Asian,No,Extremely knowledgeable,Slightly confident,Slightly confident,Very confident,Slightly confident,Slightly confident,Extremely confident,Not at all confident,Very confident,Slight,Moderate,Minimal,Good,Good,Minimal,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree
114628000051,431822954,2024-06-08,2024-06-09,228.165.67.51,ugaylord@bosco.com,Lyn,Hamill,24290051,Extremely knowledgeable,Very confident,Slightly confident,Extremely confident,Somewhat confident,Very confident,Very confident,Extremely confident,Extremely confident,Good,Good,Moderate,Good,Slight,Extensive,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,NA,View several energy interesting thus. Central as radio else measure. Quite author animal education among car rest.,Provide day bed air thing recently find. Bring seem whatever direction join tonight scientist. Somebody current allow college money water medical.,NA,NA,Male,White (Non-Hispanic/Latino),No,Somewhat knowledgeable,Slightly confident,Not at all confident,Not at all confident,Somewhat confident,Somewhat confident,Slightly confident,Not at all confident,Slightly confident,Slight,Extensive,Slight,Minimal,Good,Slight,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree
114628000052,431822954,2024-06-03,2024-06-04,132.226.1.235,aldona87@dickinson.com,Sybil,Romaguera,24290052,Very knowledgeable,Slightly confident,Very confident,Somewhat confident,Slightly confident,Slightly confident,Extremely confident,Extremely confident,Very confident,Good,Good,Slight,Extensive,Extensive,Good,Agree,Agree,Disagree,Strongly agree,Disagree,NA,NA,Machine respond brother standard. And available girl against Republican.,NA,Share meet out. Ever assume leader represent water clear possible.,Female,White (Non-Hispanic/Latino),Yes,Not knowledgeable at all,Very confident,Not at all confident,Somewhat confident,Very confident,Very confident,Somewhat confident,Not at all confident,Extremely confident,Slight,Good,Good,Slight,Moderate,Minimal,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree
114628000053,431822954,2024-06-16,2024-06-17,31.0.60.17,jschmitt@yahoo.com,Cal,Haag,24290053,Extremely knowledgeable,Very confident,Very confident,Extremely confident,Somewhat confident,Very confident,Very confident,Not at all confident,Extremely confident,Moderate,Good,Extensive,Extensive,Good,Good,Disagree,Agree,Disagree,Strongly agree,Disagree,Quite economic image dream face fund truth. Color blood he air particularly network. Really pass mention fast here program tonight song. Themselves national affect drop other.,NA,Knowledge environment floor movement difficult somebody. Collection different share grow president. Than similar because.,NA,Relate Democrat responsibility election these your. Challenge Mrs will inside. Move note world culture speak yourself.,Male,White (Non-Hispanic/Latino),Yes,Not knowledgeable at all,Not at all confident,Extremely confident,Not at all confident,Somewhat confident,Not at all confident,Somewhat confident,Very confident,Not at all confident,Slight,Slight,Moderate,Minimal,Moderate,Minimal,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Agree
114628000054,431822954,2024-06-17,2024-06-18,108.47.34.1,rsipes@beier.biz,Maynard,Franecki,24290054,Extremely knowledgeable,Very confident,Extremely confident,Very confident,Slightly confident,Not at all confident,Very confident,Somewhat confident,Extremely confident,Extensive,Slight,Extensive,Moderate,Moderate,Good,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,NA,Male,Asian,Yes,A little knowledgeable,Somewhat confident,Not at all confident,Somewhat confident,Extremely confident,Not at all confident,Slightly confident,Slightly confident,Very confident,Moderate,Slight,Moderate,Moderate,Moderate,Minimal,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree
114628000055,431822954,2024-06-08,2024-06-09,103.139.13.180,slubowitz@inc.info,Lori,DuBuque,24290055,Somewhat knowledgeable,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Very confident,Extremely confident,Extremely confident,Extremely confident,Slight,Extensive,Good,Minimal,Good,Extensive,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Fish forward at base opportunity.,Other impact glass kind assume watch heavy. Many best rich nation fast visit open recent.,NA,NA,NA,Female,Black,No,Not knowledgeable at all,Somewhat confident,Very confident,Very confident,Slightly confident,Not at all confident,Slightly confident,Not at all confident,Very confident,Moderate,Good,Good,Minimal,Minimal,Slight,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree
114628000056,431822954,2024-06-01,2024-06-02,80.75.43.162,o'kon.minnie@gmail.com,Tayshaun,Murray,24290056,Not knowledgeable at all,Very confident,Extremely confident,Somewhat confident,Somewhat confident,Slightly confident,Very confident,Extremely confident,Somewhat confident,Extensive,Good,Extensive,Slight,Good,Slight,Agree,Strongly disagree,Strongly agree,Agree,Agree,NA,Personal suffer raise available peace high out card. Conference however through six summer feel difficult why.,NA,NA,NA,Male,Native Hawaiian or other Pacific Islander,Yes,Not knowledgeable at all,Somewhat confident,Extremely confident,Slightly confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Not at all confident,Moderate,Extensive,Good,Slight,Minimal,Extensive,Agree,Disagree,Agree,Strongly disagree,Strongly agree
114628000057,431822954,2024-06-04,2024-06-05,217.141.16.194,psauer@altenwerth.com,True,Langosh,24290057,A little knowledgeable,Very confident,Not at all confident,Extremely confident,Somewhat confident,Extremely confident,Extremely confident,Extremely confident,Slightly confident,Moderate,Extensive,Slight,Extensive,Moderate,Good,Neither agree nor disagree,Agree,Agree,Strongly disagree,Agree,NA,NA,NA,Work project million travel. Light alone clear. Pretty process money voice. Religious be last create billion.,NA,Do not wish to specify,White (Non-Hispanic/Latino),No,Not knowledgeable at all,Slightly confident,Slightly confident,Extremely confident,Very confident,Not at all confident,Very confident,Not at all confident,Somewhat confident,Moderate,Minimal,Slight,Slight,Extensive,Good,Disagree,Agree,Agree,Strongly disagree,Strongly agree
114628000058,431822954,2024-06-08,2024-06-09,119.134.151.23,ryann67@mcclure.com,Delfina,Prohaska,24290058,Not knowledgeable at all,Extremely confident,Slightly confident,Slightly confident,Somewhat confident,Not at all confident,Very confident,Slightly confident,Very confident,Moderate,Slight,Slight,Slight,Minimal,Extensive,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,NA,Machine respond brother standard. And available girl against Republican.,NA,NA,NA,Female,White (Non-Hispanic/Latino),No,Not knowledgeable at all,Extremely confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Somewhat confident,Slightly confident,Minimal,Slight,Moderate,Minimal,Minimal,Good,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree
114628000059,431822954,2024-06-10,2024-06-11,24.8.244.125,hturcotte@gmail.com,Aurora,Keeling,24290059,Very knowledgeable,Extremely confident,Extremely confident,Somewhat confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Moderate,Moderate,Minimal,Minimal,Extensive,Minimal,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Three democratic born. Rich area character wall.,Lawyer develop professor place since. Wide employee show chair ok catch PM. Consider result employee run.,NA,NA,NA,Female,White (Non-Hispanic/Latino),No,Not knowledgeable at all,Very confident,Not at all confident,Slightly confident,Very confident,Not at all confident,Somewhat confident,Not at all confident,Not at all confident,Slight,Minimal,Good,Minimal,Minimal,Extensive,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
114628000060,431822954,2024-06-23,2024-06-24,162.77.14.27,rodrick.lakin@ltd.net,Rube,O'Hara,24290060,Extremely knowledgeable,Very confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Extremely confident,Very confident,Very confident,Moderate,Good,Moderate,Good,Moderate,Moderate,Strongly disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Fire fall economic last production yeah box. National letter American economy away shake such.,NA,NA,NA,NA,Male,American Indian or Alaskan Native,Yes,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Not at all confident,Very confident,Not at all confident,Somewhat confident,Moderate,Moderate,Slight,Slight,Extensive,Extensive,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree
114628000061,431822954,2024-06-01,2024-06-02,22.166.59.85,eschneider@hotmail.com,Katlyn,King,24290061,Very knowledgeable,Somewhat confident,Extremely confident,Extremely confident,Somewhat confident,Not at all confident,Extremely confident,Extremely confident,Extremely confident,Minimal,Extensive,Slight,Extensive,Good,Slight,Strongly agree,Agree,Agree,Disagree,Disagree,NA,NA,NA,Ask federal analysis staff into low. Discover grow it.,Than create then will live guess point. From cut blood.,Female,Asian,Yes,Not knowledgeable at all,Not at all confident,Very confident,Not at all confident,Very confident,Not at all confident,Very confident,Very confident,Extremely confident,Good,Good,Good,Slight,Slight,Extensive,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree
114628000062,431822954,2024-06-16,2024-06-17,237.134.69.110,jessy28@inc.org,Deann,Fadel,24290062,Extremely knowledgeable,Extremely confident,Somewhat confident,Somewhat confident,Slightly confident,Extremely confident,Very confident,Somewhat confident,Somewhat confident,Moderate,Good,Minimal,Extensive,Good,Moderate,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,NA,NA,Thus general might his with. Make mean win stock dinner wait. Two skill hope strong.,Eight war represent most vote. Within day from benefit nature poor Republican.,Theory card team year. Value there ago important smile rest job. Husband difference here once morning executive right.,Female,Asian,Yes,Somewhat knowledgeable,Very confident,Not at all confident,Somewhat confident,Very confident,Very confident,Extremely confident,Not at all confident,Slightly confident,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree
114628000063,431822954,2024-06-06,2024-06-07,32.6.48.102,ugrimes@llc.net,Rodrick,Kub,24290063,Somewhat knowledgeable,Somewhat confident,Slightly confident,Very confident,Slightly confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Slight,Minimal,Moderate,Extensive,Good,Minimal,Strongly disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Response night relate reveal cultural safe.,NA,NA,NA,NA,Male,White (Non-Hispanic/Latino),No,Not knowledgeable at all,Somewhat confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Very confident,Not at all confident,Very confident,Minimal,Slight,Slight,Minimal,Moderate,Moderate,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Disagree
114628000064,431822954,2024-06-18,2024-06-19,220.74.91.141,malvin38@ltd.biz,Victoriano,Willms,24290064,Very knowledgeable,Somewhat confident,Slightly confident,Slightly confident,Somewhat confident,Extremely confident,Extremely confident,Somewhat confident,Very confident,Good,Extensive,Extensive,Minimal,Slight,Extensive,Agree,Agree,Agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,Male,Asian,No,Not knowledgeable at all,Extremely confident,Slightly confident,Slightly confident,Somewhat confident,Somewhat confident,Not at all confident,Very confident,Not at all confident,Extensive,Minimal,Minimal,Minimal,Slight,Good,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Disagree
114628000065,431822954,2024-06-03,2024-06-04,241.2.204.70,monahan.else@will.com,Ewing,Tillman,24290065,Extremely knowledgeable,Slightly confident,Extremely confident,Very confident,Extremely confident,Extremely confident,Extremely confident,Not at all confident,Extremely confident,Slight,Good,Good,Extensive,Extensive,Good,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Agree,NA,Wonder my among foreign station none. Within shoulder hold between single detail.,Compare ball when whose policy expert natural stand. For return city how project personal.,NA,NA,Non-binary,Asian,Yes,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Moderate,Slight,Slight,Moderate,Minimal,Good,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree
114628000066,431822954,2024-06-22,2024-06-23,249.48.234.103,kyra.klocko@yahoo.com,Gregorio,Romaguera,24290066,A little knowledgeable,Slightly confident,Very confident,Very confident,Slightly confident,Extremely confident,Somewhat confident,Slightly confident,Slightly confident,Good,Good,Moderate,Good,Extensive,Minimal,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,NA,Poor tree either high kid benefit box. Career particular suddenly card value arrive beyond.,NA,Look better dark meet. Whole put president guy manager about understand. Piece interesting baby argue under sense television.,NA,Male,Hispanic or Latino,Yes,Not knowledgeable at all,Very confident,Very confident,Somewhat confident,Very confident,Somewhat confident,Somewhat confident,Not at all confident,Not at all confident,Extensive,Slight,Slight,Minimal,Slight,Minimal,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Agree
114628000067,431822954,2024-06-09,2024-06-10,209.153.26.40,maddux01@hotmail.com,Marlee,Orn,24290067,Extremely knowledgeable,Somewhat confident,Somewhat confident,Extremely confident,Somewhat confident,Very confident,Not at all confident,Slightly confident,Very confident,Moderate,Slight,Extensive,Good,Moderate,Good,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,View several energy interesting thus. Central as radio else measure. Quite author animal education among car rest.,NA,NA,NA,NA,Female,Hispanic or Latino,No,Very knowledgeable,Very confident,Not at all confident,Extremely confident,Very confident,Very confident,Very confident,Extremely confident,Somewhat confident,Good,Slight,Slight,Minimal,Minimal,Minimal,Disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree
114628000068,431822954,2024-06-19,2024-06-20,182.233.219.123,walsh.jeramiah@hotmail.com,Chloie,Morissette,24290068,Extremely knowledgeable,Somewhat confident,Slightly confident,Extremely confident,Very confident,Extremely confident,Somewhat confident,Extremely confident,Extremely confident,Extensive,Extensive,Minimal,Extensive,Extensive,Good,Agree,Strongly disagree,Agree,Strongly agree,Disagree,NA,Once offer dark door carry. System soon write spring pretty seven them recent. Whole factor focus as claim off wonder.,NA,NA,Win ever company oil. Difference smile somebody gun available information energy Mr. Trade nor piece term question significant president.,Female,Asian,No,Not knowledgeable at all,Somewhat confident,Not at all confident,Very confident,Very confident,Slightly confident,Extremely confident,Very confident,Extremely confident,Good,Good,Good,Minimal,Moderate,Minimal,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Agree
114628000069,431822954,2024-06-23,2024-06-24,47.138.202.43,bhegmann@inc.biz,Yamilet,Hansen,24290069,Very knowledgeable,Extremely confident,Extremely confident,Very confident,Very confident,Extremely confident,Somewhat confident,Slightly confident,Extremely confident,Extensive,Extensive,Slight,Extensive,Minimal,Extensive,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,NA,NA,NA,NA,NA,Female,American Indian or Alaskan Native,Yes,Extremely knowledgeable,Very confident,Not at all confident,Not at all confident,Very confident,Very confident,Somewhat confident,Not at all confident,Not at all confident,Extensive,Extensive,Good,Slight,Slight,Minimal,Agree,Agree,Disagree,Strongly disagree,Neither agree nor disagree
114628000070,431822954,2024-06-15,2024-06-16,132.108.228.0,ashlea.zulauf@nitzsche.com,Jerimiah,Emard,24290070,Very knowledgeable,Extremely confident,Very confident,Not at all confident,Extremely confident,Extremely confident,Not at all confident,Extremely confident,Extremely confident,Extensive,Extensive,Moderate,Extensive,Minimal,Good,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,NA,NA,NA,Bill name wear despite girl response. Up Congress building interesting.,NA,Male,Black,Yes,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Slightly confident,Very confident,Slightly confident,Not at all confident,Slightly confident,Slight,Minimal,Slight,Slight,Moderate,Good,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree
114628000071,431822954,2024-06-12,2024-06-13,90.68.235.111,qmaggio@hotmail.com,Arely,Walsh,24290071,Extremely knowledgeable,Very confident,Extremely confident,Somewhat confident,Extremely confident,Not at all confident,Somewhat confident,Not at all confident,Very confident,Extensive,Extensive,Moderate,Extensive,Extensive,Slight,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,NA,NA,Certain change difficult heavy check three responsibility. Organization size draw. Grow heavy usually information quality should.,NA,NA,Female,White (Non-Hispanic/Latino),Yes,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Very confident,Not at all confident,Slightly confident,Somewhat confident,Somewhat confident,Extensive,Good,Minimal,Slight,Good,Moderate,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree
