Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,To what extent are you knowledgeable in conducting research in your field of study?,Please rate your level of confidence in performing the following research tasks on a scale from not at all confident to extremely confident.,,,,,,,,Please rate your ability to do the following on a scale from minimal to extensive.,,,,,,Please rate your agreement with the following statements on a scale from strongly disagree to strongly agree.,,,,,Please describe how your department could help you improve in this area- I understand the different aspects of ethical research,Please describe how your department could help you improve in this area- I am able to adhere to ethics in research,Please describe how your department could help you improve in this area- I know where to find resources on ethical research conduct,Please describe how your department could help you improve in this area- I am knowledgeable in ethical research conduct,Please describe how your department could help you improve in this area- I can conduct ethical research,With which gender do you most closely identify?,What is your current role in the program?,Which race/ethnicity best describes you? (Please choose only one.),Are you a first-generation college student?
114628000053,431822954,2024-06-22,2024-06-23,31.0.60.17,jschmitt@yahoo.com,Dashawn,Mosciski,24290053,Extremely knowledgeable,Very confident,Very confident,Extremely confident,Somewhat confident,Very confident,Very confident,Not at all confident,Extremely confident,Moderate,Good,Extensive,Extensive,Good,Good,Disagree,Agree,Disagree,Strongly agree,Disagree,Quite economic image dream face fund truth. Color blood he air particularly network. Really pass mention fast here program tonight song. Themselves national affect drop other.,NA,Knowledge environment floor movement difficult somebody. Collection different share grow president. Than similar because.,NA,Relate Democrat responsibility election these your. Challenge Mrs will inside. Move note world culture speak yourself.,Male,Graduate student,White (Non-Hispanic/Latino),No
114628000054,431822954,2024-06-17,2024-06-18,108.47.34.1,rsipes@beier.biz,Lori,Ziemann,24290054,Extremely knowledgeable,Very confident,Extremely confident,Very confident,Slightly confident,Not at all confident,Very confident,Somewhat confident,Extremely confident,Extensive,Slight,Extensive,Moderate,Moderate,Good,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,NA,Female,Undergraduate student,White (Non-Hispanic/Latino),No
114628000055,431822954,2024-06-14,2024-06-15,103.139.13.180,slubowitz@inc.info,Winona,Stiedemann,24290055,Somewhat knowledgeable,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Very confident,Extremely confident,Extremely confident,Extremely confident,Slight,Extensive,Good,Minimal,Good,Extensive,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Fish forward at base opportunity.,Other impact glass kind assume watch heavy. Many best rich nation fast visit open recent.,NA,NA,NA,Female,Undergraduate student,Native Hawaiian or other Pacific Islander,No
114628000056,431822954,2024-06-21,2024-06-22,80.75.43.162,o'kon.minnie@gmail.com,Forrest,Heaney,24290056,Not knowledgeable at all,Very confident,Extremely confident,Somewhat confident,Somewhat confident,Slightly confident,Very confident,Extremely confident,Somewhat confident,Extensive,Good,Extensive,Slight,Good,Slight,Agree,Strongly disagree,Strongly agree,Agree,Agree,NA,Personal suffer raise available peace high out card. Conference however through six summer feel difficult why.,NA,NA,NA,Male,Graduate student,White (Non-Hispanic/Latino),Yes
114628000057,431822954,2024-06-06,2024-06-07,217.141.16.194,psauer@altenwerth.com,Marc,Howell,24290057,A little knowledgeable,Very confident,Not at all confident,Extremely confident,Somewhat confident,Extremely confident,Extremely confident,Extremely confident,Slightly confident,Moderate,Extensive,Slight,Extensive,Moderate,Good,Neither agree nor disagree,Agree,Agree,Strongly disagree,Agree,NA,NA,NA,Work project million travel. Light alone clear. Pretty process money voice. Religious be last create billion.,NA,Male,Undergraduate student,White (Non-Hispanic/Latino),No
114628000058,431822954,2024-06-10,2024-06-11,119.134.151.23,ryann67@mcclure.com,Rosie,Hansen,24290058,Not knowledgeable at all,Extremely confident,Slightly confident,Slightly confident,Somewhat confident,Not at all confident,Very confident,Slightly confident,Very confident,Moderate,Slight,Slight,Slight,Minimal,Extensive,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,NA,Machine respond brother standard. And available girl against Republican.,NA,NA,NA,Female,Faculty,White (Non-Hispanic/Latino),Yes
114628000059,431822954,2024-06-12,2024-06-13,24.8.244.125,hturcotte@gmail.com,Taraji,Hoppe,24290059,Very knowledgeable,Extremely confident,Extremely confident,Somewhat confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Moderate,Moderate,Minimal,Minimal,Extensive,Minimal,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Three democratic born. Rich area character wall.,Lawyer develop professor place since. Wide employee show chair ok catch PM. Consider result employee run.,NA,NA,NA,Female,Undergraduate student,Black,Yes
114628000060,431822954,2024-06-04,2024-06-05,162.77.14.27,rodrick.lakin@ltd.net,Etter,Jerde,24290060,Extremely knowledgeable,Very confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Extremely confident,Very confident,Very confident,Moderate,Good,Moderate,Good,Moderate,Moderate,Strongly disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Fire fall economic last production yeah box. National letter American economy away shake such.,NA,NA,NA,NA,Female,Undergraduate student,Hispanic or Latino,No
114628000061,431822954,2024-06-02,2024-06-03,22.166.59.85,eschneider@hotmail.com,Willard,Osinski,24290061,Very knowledgeable,Somewhat confident,Extremely confident,Extremely confident,Somewhat confident,Not at all confident,Extremely confident,Extremely confident,Extremely confident,Minimal,Extensive,Slight,Extensive,Good,Slight,Strongly agree,Agree,Agree,Disagree,Disagree,NA,NA,NA,Ask federal analysis staff into low. Discover grow it.,Than create then will live guess point. From cut blood.,Male,Graduate student,Hispanic or Latino,Yes
114628000062,431822954,2024-06-11,2024-06-12,237.134.69.110,jessy28@inc.org,Rodrick,Haag,24290062,Extremely knowledgeable,Extremely confident,Somewhat confident,Somewhat confident,Slightly confident,Extremely confident,Very confident,Somewhat confident,Somewhat confident,Moderate,Good,Minimal,Extensive,Good,Moderate,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,NA,NA,Thus general might his with. Make mean win stock dinner wait. Two skill hope strong.,Eight war represent most vote. Within day from benefit nature poor Republican.,Theory card team year. Value there ago important smile rest job. Husband difference here once morning executive right.,Male,Postdoc,Asian,Yes
114628000063,431822954,2024-06-13,2024-06-14,32.6.48.102,ugrimes@llc.net,Rosanna,Prohaska,24290063,Somewhat knowledgeable,Somewhat confident,Slightly confident,Very confident,Slightly confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Slight,Minimal,Moderate,Extensive,Good,Minimal,Strongly disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Response night relate reveal cultural safe.,NA,NA,NA,NA,Female,Postdoc,White (Non-Hispanic/Latino),Yes
114628000064,431822954,2024-06-12,2024-06-13,220.74.91.141,malvin38@ltd.biz,Pheobe,Kling,24290064,Very knowledgeable,Somewhat confident,Slightly confident,Slightly confident,Somewhat confident,Extremely confident,Extremely confident,Somewhat confident,Very confident,Good,Extensive,Extensive,Minimal,Slight,Extensive,Agree,Agree,Agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,Female,Undergraduate student,Hispanic or Latino,No
114628000065,431822954,2024-06-13,2024-06-14,241.2.204.70,monahan.else@will.com,Jane,Heathcote,24290065,Extremely knowledgeable,Slightly confident,Extremely confident,Very confident,Extremely confident,Extremely confident,Extremely confident,Not at all confident,Extremely confident,Slight,Good,Good,Extensive,Extensive,Good,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Agree,NA,Wonder my among foreign station none. Within shoulder hold between single detail.,Compare ball when whose policy expert natural stand. For return city how project personal.,NA,NA,Female,Postdoc,American Indian or Alaskan Native,No
114628000066,431822954,2024-06-11,2024-06-12,249.48.234.103,kyra.klocko@yahoo.com,Jonathan,Murray,24290066,A little knowledgeable,Slightly confident,Very confident,Very confident,Slightly confident,Extremely confident,Somewhat confident,Slightly confident,Slightly confident,Good,Good,Moderate,Good,Extensive,Minimal,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,NA,Poor tree either high kid benefit box. Career particular suddenly card value arrive beyond.,NA,Look better dark meet. Whole put president guy manager about understand. Piece interesting baby argue under sense television.,NA,Male,Postdoc,White (Non-Hispanic/Latino),No
114628000067,431822954,2024-06-17,2024-06-18,209.153.26.40,maddux01@hotmail.com,Corinne,Kutch,24290067,Extremely knowledgeable,Somewhat confident,Somewhat confident,Extremely confident,Somewhat confident,Very confident,Not at all confident,Slightly confident,Very confident,Moderate,Slight,Extensive,Good,Moderate,Good,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,View several energy interesting thus. Central as radio else measure. Quite author animal education among car rest.,NA,NA,NA,NA,Female,Graduate student,White (Non-Hispanic/Latino),No
114628000068,431822954,2024-06-06,2024-06-07,182.233.219.123,walsh.jeramiah@hotmail.com,Deann,Kris,24290068,Extremely knowledgeable,Somewhat confident,Slightly confident,Extremely confident,Very confident,Extremely confident,Somewhat confident,Extremely confident,Extremely confident,Extensive,Extensive,Minimal,Extensive,Extensive,Good,Agree,Strongly disagree,Agree,Strongly agree,Disagree,NA,Once offer dark door carry. System soon write spring pretty seven them recent. Whole factor focus as claim off wonder.,NA,NA,Win ever company oil. Difference smile somebody gun available information energy Mr. Trade nor piece term question significant president.,Female,Graduate student,White (Non-Hispanic/Latino),No
114628000069,431822954,2024-06-18,2024-06-19,47.138.202.43,bhegmann@inc.biz,Lassie,Padberg,24290069,Very knowledgeable,Extremely confident,Extremely confident,Very confident,Very confident,Extremely confident,Somewhat confident,Slightly confident,Extremely confident,Extensive,Extensive,Slight,Extensive,Minimal,Extensive,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,NA,NA,NA,NA,NA,Female,Undergraduate student,White (Non-Hispanic/Latino),Yes
114628000070,431822954,2024-06-16,2024-06-17,132.108.228.0,ashlea.zulauf@nitzsche.com,Rube,Willms,24290070,Very knowledgeable,Extremely confident,Very confident,Not at all confident,Extremely confident,Extremely confident,Not at all confident,Extremely confident,Extremely confident,Extensive,Extensive,Moderate,Extensive,Minimal,Good,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,NA,NA,NA,Bill name wear despite girl response. Up Congress building interesting.,NA,Male,Postdoc,Black,No
114628000071,431822954,2024-06-19,2024-06-20,90.68.235.111,qmaggio@hotmail.com,Rayfield,Connelly,24290071,Extremely knowledgeable,Very confident,Extremely confident,Somewhat confident,Extremely confident,Not at all confident,Somewhat confident,Not at all confident,Very confident,Extensive,Extensive,Moderate,Extensive,Extensive,Slight,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,NA,NA,Certain change difficult heavy check three responsibility. Organization size draw. Grow heavy usually information quality should.,NA,NA,Male,Graduate student,White (Non-Hispanic/Latino),Yes
114628000072,431822954,2024-06-21,2024-06-22,118.172.1.4,eveline.stoltenberg@gmail.com,Aliya,Cormier,24290072,A little knowledgeable,Extremely confident,Not at all confident,Extremely confident,Very confident,Slightly confident,Very confident,Extremely confident,Somewhat confident,Extensive,Good,Extensive,Extensive,Extensive,Moderate,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,NA,NA,NA,NA,Hope per mind peace. Drug reason yard though test ten. Organization player argue arm guess take character.,Female,Graduate student,White (Non-Hispanic/Latino),Yes
114628000073,431822954,2024-06-15,2024-06-16,131.203.161.137,torrey43@yahoo.com,Marcelino,Schoen,24290073,Extremely knowledgeable,Slightly confident,Not at all confident,Extremely confident,Slightly confident,Extremely confident,Somewhat confident,Slightly confident,Extremely confident,Good,Moderate,Slight,Extensive,Good,Moderate,Disagree,Strongly agree,Agree,Agree,Strongly agree,Eight war represent most vote. Within day from benefit nature poor Republican.,NA,NA,NA,NA,Male,Postdoc,Black,Yes
114628000074,431822954,2024-06-04,2024-06-05,79.91.213.59,eglover@hotmail.com,Romie,Bins,24290074,A little knowledgeable,Very confident,Extremely confident,Extremely confident,Somewhat confident,Extremely confident,Somewhat confident,Extremely confident,Extremely confident,Moderate,Slight,Moderate,Extensive,Slight,Good,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,NA,I remain hand young civil yet forget.,NA,NA,Three democratic born. Rich area character wall.,Male,Undergraduate student,Asian,Yes
114628000075,431822954,2024-06-24,2024-06-25,119.144.254.248,altenwerth.donat@yahoo.com,Willian,Schroeder,24290075,Extremely knowledgeable,Very confident,Extremely confident,Somewhat confident,Very confident,Somewhat confident,Very confident,Slightly confident,Extremely confident,Good,Extensive,Good,Moderate,Slight,Moderate,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,NA,NA,Then whether perhaps realize four kid long institution. Economic everything person fire the. This everybody case home.,NA,NA,Male,Undergraduate student,White (Non-Hispanic/Latino),No
114628000076,431822954,2024-06-09,2024-06-10,216.221.76.144,ida62@gmail.com,Lamar,Strosin,24290076,Not knowledgeable at all,Slightly confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Very confident,Extremely confident,Extremely confident,Extensive,Extensive,Good,Extensive,Extensive,Good,Agree,Agree,Disagree,Strongly agree,Strongly agree,NA,NA,Glass language like.,NA,NA,Male,Undergraduate student,Black,No
114628000077,431822954,2024-06-15,2024-06-16,199.219.39.56,jbosco@llc.com,Yamilet,Prohaska,24290077,Extremely knowledgeable,Slightly confident,Slightly confident,Extremely confident,Extremely confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Moderate,Extensive,Good,Good,Minimal,Good,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,NA,NA,Than create then will live guess point. From cut blood.,NA,NA,Female,Faculty,White (Non-Hispanic/Latino),Yes
114628000078,431822954,2024-06-15,2024-06-16,44.58.24.79,hkris@erdman.com,Blanche,Reilly,24290078,Extremely knowledgeable,Slightly confident,Not at all confident,Somewhat confident,Very confident,Somewhat confident,Extremely confident,Extremely confident,Somewhat confident,Extensive,Slight,Moderate,Extensive,Moderate,Minimal,Agree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,NA,Ten according together that. Tell right outside whether involve agency. Reach adult you lot since prevent give.,NA,NA,NA,Female,Postdoc,Asian,Yes
114628000079,431822954,2024-06-10,2024-06-11,194.90.162.50,sanford.judge@hotmail.com,Ena,Aufderhar,24290079,Not knowledgeable at all,Very confident,Extremely confident,Extremely confident,Very confident,Extremely confident,Very confident,Extremely confident,Extremely confident,Extensive,Good,Moderate,Extensive,Extensive,Good,Agree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,NA,NA,Sport close bank after fact. Fight daughter road total.,NA,NA,Female,Graduate student,White (Non-Hispanic/Latino),No
114628000080,431822954,2024-06-02,2024-06-03,128.10.161.146,hgaylord@rippin.org,Menachem,Torp,24290080,Very knowledgeable,Extremely confident,Extremely confident,Very confident,Very confident,Slightly confident,Extremely confident,Slightly confident,Somewhat confident,Minimal,Good,Moderate,Moderate,Moderate,Moderate,Strongly agree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,NA,Fish forward at base opportunity.,Fish forward at base opportunity.,Response night relate reveal cultural safe.,NA,Male,Undergraduate student,Black,Yes
114628000081,431822954,2024-06-22,2024-06-23,163.223.108.210,sabastian02@graham.com,Jerrold,Crist,24290081,Extremely knowledgeable,Very confident,Slightly confident,Very confident,Extremely confident,Slightly confident,Somewhat confident,Extremely confident,Very confident,Slight,Extensive,Good,Extensive,Extensive,Good,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,NA,NA,NA,NA,NA,Male,Postdoc,White (Non-Hispanic/Latino),Yes
114628000082,431822954,2024-06-15,2024-06-16,150.19.189.86,roswell.reichel@plc.com,Eddie,Prohaska,24290082,Extremely knowledgeable,Very confident,Extremely confident,Very confident,Extremely confident,Very confident,Somewhat confident,Very confident,Extremely confident,Moderate,Good,Good,Good,Moderate,Extensive,Disagree,Agree,Agree,Disagree,Disagree,Government fund door develop. The direction choose away pay reason. Theory stuff want student.,NA,NA,Local prepare nothing itself with rule. Control pick base above. Seven civil point school his agency material.,Ground make order. Simple new result class them television game.,Male,Graduate student,Asian,No
114628000083,431822954,2024-06-19,2024-06-20,32.215.176.122,ccrist@hotmail.com,Elvina,Dach,24290083,Extremely knowledgeable,Very confident,Very confident,Very confident,Somewhat confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Moderate,Good,Extensive,Slight,Minimal,Moderate,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,NA,NA,NA,NA,NA,Female,Graduate student,Native Hawaiian or other Pacific Islander,No
114628000084,431822954,2024-06-12,2024-06-13,106.204.174.33,lnader@yahoo.com,Tabatha,Fadel,24290084,Very knowledgeable,Slightly confident,Extremely confident,Somewhat confident,Somewhat confident,Very confident,Somewhat confident,Very confident,Extremely confident,Good,Good,Extensive,Good,Minimal,Good,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,NA,NA,Personal suffer raise available peace high out card. Conference however through six summer feel difficult why.,NA,Trouble player country night teach understand occur. Raise environmental trade raise.,Female,Undergraduate student,White (Non-Hispanic/Latino),Yes
114628000085,431822954,2024-06-24,2024-06-25,122.120.37.92,shea.bradtke@hickle.com,Rebecca,Leffler,24290085,Extremely knowledgeable,Very confident,Very confident,Very confident,Extremely confident,Not at all confident,Extremely confident,Extremely confident,Extremely confident,Slight,Good,Slight,Good,Slight,Moderate,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Agree,NA,NA,NA,Economic above economic town give traditional. Few sound story.,NA,Female,Graduate student,Black,No
114628000086,431822954,2024-06-09,2024-06-10,129.103.182.25,sid.harber@gmail.com,Azzie,Turner,24290086,Extremely knowledgeable,Somewhat confident,Extremely confident,Very confident,Somewhat confident,Somewhat confident,Very confident,Very confident,Somewhat confident,Extensive,Good,Slight,Extensive,Good,Moderate,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Poor tree either high kid benefit box. Career particular suddenly card value arrive beyond.,NA,Mind state yet raise sort defense firm. Yet style anyone set involve. Economy five decide statement college. Involve allow room baby election when.,NA,NA,Female,Undergraduate student,Hispanic or Latino,Yes
114628000087,431822954,2024-06-05,2024-06-06,218.167.31.227,mcollins@murazik.com,Joy,Heidenreich,24290087,Extremely knowledgeable,Extremely confident,Extremely confident,Slightly confident,Somewhat confident,Not at all confident,Somewhat confident,Very confident,Slightly confident,Extensive,Slight,Moderate,Extensive,Moderate,Good,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,NA,Male,Postdoc,Black,No
114628000088,431822954,2024-06-12,2024-06-13,163.219.235.173,reece14@hayes.com,Deondre,Emard,24290088,Extremely knowledgeable,Slightly confident,Extremely confident,Very confident,Extremely confident,Slightly confident,Extremely confident,Very confident,Extremely confident,Minimal,Moderate,Extensive,Good,Good,Extensive,Strongly agree,Agree,Agree,Strongly disagree,Agree,NA,NA,NA,Quite economic image dream face fund truth. Color blood he air particularly network. Really pass mention fast here program tonight song. Themselves national affect drop other.,NA,Male,Undergraduate student,Native Hawaiian or other Pacific Islander,No
114628000089,431822954,2024-06-11,2024-06-12,245.38.18.24,earl.reinger@and.net,Paris,Heller,24290089,Very knowledgeable,Extremely confident,Extremely confident,Slightly confident,Extremely confident,Somewhat confident,Somewhat confident,Not at all confident,Very confident,Slight,Extensive,Extensive,Extensive,Moderate,Extensive,Agree,Strongly agree,Disagree,Disagree,Agree,NA,NA,Dinner move none certainly. Foot maintain admit type. Popular ready trial region mission support tell half.,Fire fall economic last production yeah box. National letter American economy away shake such.,NA,Male,Undergraduate student,White (Non-Hispanic/Latino),No
114628000090,431822954,2024-06-16,2024-06-17,12.0.66.29,benjamine.moore@group.com,Cal,Lehner,24290090,Extremely knowledgeable,Slightly confident,Extremely confident,Slightly confident,Somewhat confident,Extremely confident,Slightly confident,Very confident,Somewhat confident,Good,Extensive,Slight,Extensive,Good,Slight,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,Male,Postdoc,White (Non-Hispanic/Latino),No
114628000091,431822954,2024-06-22,2024-06-23,180.158.101.80,gcummerata@hotmail.com,Katlyn,Kuhlman,24290091,Somewhat knowledgeable,Extremely confident,Extremely confident,Very confident,Very confident,Somewhat confident,Extremely confident,Extremely confident,Extremely confident,Extensive,Moderate,Slight,Minimal,Extensive,Good,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,NA,Female,Graduate student,White (Non-Hispanic/Latino),Yes
114628000092,431822954,2024-06-05,2024-06-06,181.112.14.81,oliva.lubowitz@yahoo.com,Tanja,Jenkins,24290092,Not knowledgeable at all,Extremely confident,Very confident,Very confident,Extremely confident,Slightly confident,Very confident,Very confident,Extremely confident,Good,Good,Moderate,Moderate,Slight,Good,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,NA,Female,Undergraduate student,White (Non-Hispanic/Latino),No
114628000093,431822954,2024-06-01,2024-06-02,72.236.55.239,trinity.bogan@padberg.com,Cheryll,Orn,24290093,Not knowledgeable at all,Extremely confident,Not at all confident,Somewhat confident,Extremely confident,Extremely confident,Extremely confident,Somewhat confident,Not at all confident,Moderate,Extensive,Moderate,Extensive,Extensive,Moderate,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,NA,NA,Or spend fire might speak less make. Image including I writer appear add. Positive beyond nation also system leg.,NA,NA,Female,Undergraduate student,Asian,No
114628000094,431822954,2024-06-21,2024-06-22,113.205.111.46,ziemann.hershel@heathcote.com,Michaele,Yost,24290094,Very knowledgeable,Somewhat confident,Extremely confident,Slightly confident,Very confident,Somewhat confident,Extremely confident,Somewhat confident,Very confident,Extensive,Moderate,Minimal,Minimal,Slight,Moderate,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,NA,NA,NA,NA,NA,Female,Undergraduate student,Asian,Yes
114628000095,431822954,2024-06-18,2024-06-19,46.77.216.32,trilby83@and.org,Christiana,Ondricka,24290095,Extremely knowledgeable,Not at all confident,Somewhat confident,Slightly confident,Extremely confident,Slightly confident,Extremely confident,Not at all confident,Somewhat confident,Good,Extensive,Moderate,Good,Extensive,Moderate,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,NA,NA,NA,NA,NA,Female,Undergraduate student,Asian,Yes
114628000096,431822954,2024-06-02,2024-06-03,174.23.86.142,rosamond21@hotmail.com,Tracie,Keeling,24290096,Extremely knowledgeable,Somewhat confident,Extremely confident,Very confident,Slightly confident,Very confident,Somewhat confident,Extremely confident,Very confident,Slight,Extensive,Minimal,Moderate,Moderate,Extensive,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,NA,NA,NA,NA,Suffer heart from father write cultural remember. Group lead another gun.,Female,Faculty,Black,No
114628000097,431822954,2024-06-09,2024-06-10,141.166.112.106,watsica.juliann@bruen.com,Tawnya,Macejkovic,24290097,Somewhat knowledgeable,Somewhat confident,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Extremely confident,Very confident,Somewhat confident,Extensive,Extensive,Slight,Extensive,Good,Extensive,Disagree,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Quality game century thank building.,NA,National father data author impact hear send. Treatment car former wait manager growth. Interesting push hard one property.,NA,NA,Female,Undergraduate student,White (Non-Hispanic/Latino),No
114628000098,431822954,2024-06-12,2024-06-13,9.40.82.92,dietrich.myrtle@mayer.com,Rheta,Mayert,24290098,Extremely knowledgeable,Slightly confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Not at all confident,Very confident,Moderate,Extensive,Minimal,Extensive,Good,Extensive,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,NA,NA,NA,NA,NA,Female,Graduate student,Hispanic or Latino,No
114628000099,431822954,2024-06-04,2024-06-05,230.216.246.17,dani.champlin@hotmail.com,Kirstin,Harvey,24290099,A little knowledgeable,Slightly confident,Slightly confident,Not at all confident,Extremely confident,Very confident,Very confident,Extremely confident,Very confident,Moderate,Extensive,Extensive,Good,Minimal,Extensive,Agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,NA,NA,Least a heavy my character free hospital. Firm resource agree television require. Concern buy democratic wonder.,NA,NA,Female,Undergraduate student,American Indian or Alaskan Native,Yes
114628000100,431822954,2024-06-22,2024-06-23,185.70.255.234,ileuschke@gmail.com,Plummer,Langosh,24290100,Extremely knowledgeable,Very confident,Slightly confident,Slightly confident,Extremely confident,Slightly confident,Somewhat confident,Not at all confident,Extremely confident,Moderate,Extensive,Extensive,Extensive,Minimal,Moderate,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,NA,Officer himself wear statement. Easy visit sound white measure. So analysis television doctor.,Prove trip buy relate ten TV. Management smile lot travel form. Remain experience boy well organization.,NA,NA,Male,Faculty,Native Hawaiian or other Pacific Islander,Yes
