Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,To what extent are you knowledgeable in conducting research in your field of study?,Please rate your level of confidence in performing the following research tasks on a scale from not at all confident to extremely confident.,,,,,,,,Please rate your ability to do the following on a scale from minimal to extensive.,,,,,,Please rate your agreement with the following statements on a scale from strongly disagree to strongly agree.,,,,,With which gender do you most closely identify?,Which race/ethnicity best describes you? (Please choose only one.),Are you a first-generation college student?
114628000065,431822954,2024-06-03,2024-06-04,241.2.204.70,monahan.else@will.com,Ewing,Tillman,24290065,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Moderate,Slight,Slight,Moderate,Minimal,Good,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Non-binary,Asian,Yes
114628000066,431822954,2024-06-22,2024-06-23,249.48.234.103,kyra.klocko@yahoo.com,Gregorio,Romaguera,24290066,Not knowledgeable at all,Very confident,Very confident,Somewhat confident,Very confident,Somewhat confident,Somewhat confident,Not at all confident,Not at all confident,Extensive,Slight,Slight,Minimal,Slight,Minimal,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Male,Hispanic or Latino,Yes
114628000067,431822954,2024-06-09,2024-06-10,209.153.26.40,maddux01@hotmail.com,Marlee,Orn,24290067,Very knowledgeable,Very confident,Not at all confident,Extremely confident,Very confident,Very confident,Very confident,Extremely confident,Somewhat confident,Good,Slight,Slight,Minimal,Minimal,Minimal,Disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Female,Hispanic or Latino,No
114628000068,431822954,2024-06-19,2024-06-20,182.233.219.123,walsh.jeramiah@hotmail.com,Chloie,Morissette,24290068,Not knowledgeable at all,Somewhat confident,Not at all confident,Very confident,Very confident,Slightly confident,Extremely confident,Very confident,Extremely confident,Good,Good,Good,Minimal,Moderate,Minimal,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Agree,Female,Asian,No
114628000069,431822954,2024-06-23,2024-06-24,47.138.202.43,bhegmann@inc.biz,Yamilet,Hansen,24290069,Extremely knowledgeable,Very confident,Not at all confident,Not at all confident,Very confident,Very confident,Somewhat confident,Not at all confident,Not at all confident,Extensive,Extensive,Good,Slight,Slight,Minimal,Agree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Female,American Indian or Alaskan Native,Yes
114628000070,431822954,2024-06-15,2024-06-16,132.108.228.0,ashlea.zulauf@nitzsche.com,Jerimiah,Emard,24290070,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Slightly confident,Very confident,Slightly confident,Not at all confident,Slightly confident,Slight,Minimal,Slight,Slight,Moderate,Good,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Male,Black,Yes
114628000071,431822954,2024-06-12,2024-06-13,90.68.235.111,qmaggio@hotmail.com,Arely,Walsh,24290071,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Very confident,Not at all confident,Slightly confident,Somewhat confident,Somewhat confident,Extensive,Good,Minimal,Slight,Good,Moderate,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,Female,White (Non-Hispanic/Latino),Yes
114628000072,431822954,2024-06-19,2024-06-20,118.172.1.4,eveline.stoltenberg@gmail.com,Jeraldine,Lubowitz,24290072,Not knowledgeable at all,Slightly confident,Not at all confident,Very confident,Somewhat confident,Not at all confident,Extremely confident,Extremely confident,Slightly confident,Slight,Good,Good,Extensive,Slight,Minimal,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Female,White (Non-Hispanic/Latino),No
114628000073,431822954,2024-06-14,2024-06-15,131.203.161.137,torrey43@yahoo.com,Rishi,Mosciski,24290073,A little knowledgeable,Very confident,Slightly confident,Slightly confident,Not at all confident,Slightly confident,Not at all confident,Not at all confident,Extremely confident,Slight,Good,Minimal,Extensive,Slight,Good,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Male,Hispanic or Latino,No
114628000074,431822954,2024-06-13,2024-06-14,79.91.213.59,eglover@hotmail.com,Lee,Dicki,24290074,A little knowledgeable,Slightly confident,Not at all confident,Slightly confident,Somewhat confident,Slightly confident,Very confident,Not at all confident,Extremely confident,Moderate,Minimal,Minimal,Minimal,Minimal,Slight,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Male,Asian,Yes
114628000075,431822954,2024-06-20,2024-06-21,119.144.254.248,altenwerth.donat@yahoo.com,Adelaide,Feeney,24290075,Not knowledgeable at all,Somewhat confident,Not at all confident,Not at all confident,Extremely confident,Not at all confident,Slightly confident,Not at all confident,Not at all confident,Moderate,Minimal,Good,Slight,Good,Minimal,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Female,White (Non-Hispanic/Latino),Yes
114628000076,431822954,2024-06-04,2024-06-05,216.221.76.144,ida62@gmail.com,Cheryll,Dibbert,24290076,Very knowledgeable,Not at all confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Slight,Good,Extensive,Slight,Extensive,Good,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Female,Black,No
114628000077,431822954,2024-06-23,2024-06-24,199.219.39.56,jbosco@llc.com,Lamar,Moen,24290077,Very knowledgeable,Slightly confident,Extremely confident,Very confident,Somewhat confident,Somewhat confident,Somewhat confident,Not at all confident,Very confident,Slight,Extensive,Slight,Minimal,Moderate,Good,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Male,White (Non-Hispanic/Latino),Yes
114628000078,431822954,2024-06-11,2024-06-12,44.58.24.79,hkris@erdman.com,Azzie,Kessler,24290078,Not knowledgeable at all,Very confident,Somewhat confident,Slightly confident,Extremely confident,Not at all confident,Extremely confident,Slightly confident,Very confident,Good,Moderate,Moderate,Minimal,Minimal,Good,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Female,White (Non-Hispanic/Latino),I'm not sure
114628000079,431822954,2024-06-13,2024-06-14,194.90.162.50,sanford.judge@hotmail.com,Tate,Willms,24290079,Somewhat knowledgeable,Somewhat confident,Not at all confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Not at all confident,Not at all confident,Moderate,Moderate,Minimal,Minimal,Moderate,Slight,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Male,Asian,No
114628000080,431822954,2024-06-22,2024-06-23,128.10.161.146,hgaylord@rippin.org,Corinne,Turner,24290080,Not knowledgeable at all,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Extremely confident,Extremely confident,Not at all confident,Extremely confident,Extensive,Moderate,Extensive,Extensive,Minimal,Good,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Female,White (Non-Hispanic/Latino),No
114628000081,431822954,2024-06-25,2024-06-26,163.223.108.210,sabastian02@graham.com,Maeve,Greenfelder,24290081,Not knowledgeable at all,Extremely confident,Not at all confident,Extremely confident,Slightly confident,Very confident,Somewhat confident,Very confident,Slightly confident,Moderate,Good,Minimal,Slight,Good,Good,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Female,White (Non-Hispanic/Latino),Yes
114628000082,431822954,2024-06-02,2024-06-03,150.19.189.86,roswell.reichel@plc.com,Squire,Wisozk,24290082,Not knowledgeable at all,Not at all confident,Not at all confident,Very confident,Slightly confident,Very confident,Somewhat confident,Not at all confident,Very confident,Moderate,Slight,Minimal,Slight,Good,Minimal,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Male,White (Non-Hispanic/Latino),Yes
114628000083,431822954,2024-06-24,2024-06-25,32.215.176.122,ccrist@hotmail.com,Pheobe,Cormier,24290083,A little knowledgeable,Somewhat confident,Not at all confident,Not at all confident,Somewhat confident,Extremely confident,Somewhat confident,Extremely confident,Extremely confident,Moderate,Moderate,Slight,Slight,Moderate,Minimal,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Female,White (Non-Hispanic/Latino),No
114628000084,431822954,2024-06-06,2024-06-07,106.204.174.33,lnader@yahoo.com,Riley,Kuhlman,24290084,Extremely knowledgeable,Extremely confident,Not at all confident,Very confident,Very confident,Not at all confident,Not at all confident,Slightly confident,Extremely confident,Good,Minimal,Good,Minimal,Minimal,Moderate,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Male,Hispanic or Latino,No
114628000085,431822954,2024-06-14,2024-06-15,122.120.37.92,shea.bradtke@hickle.com,Thor,Roob,24290085,Very knowledgeable,Not at all confident,Extremely confident,Not at all confident,Extremely confident,Somewhat confident,Extremely confident,Somewhat confident,Not at all confident,Slight,Slight,Minimal,Minimal,Minimal,Slight,Agree,Disagree,Strongly agree,Strongly agree,Agree,Male,Native Hawaiian or other Pacific Islander,Yes
114628000086,431822954,2024-06-25,2024-06-26,129.103.182.25,sid.harber@gmail.com,Deondre,Brakus,24290086,Not knowledgeable at all,Somewhat confident,Not at all confident,Not at all confident,Not at all confident,Not at all confident,Somewhat confident,Somewhat confident,Slightly confident,Extensive,Extensive,Slight,Good,Moderate,Slight,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Male,Hispanic or Latino,Yes
114628000087,431822954,2024-06-12,2024-06-13,218.167.31.227,mcollins@murazik.com,Menachem,Johns,24290087,Not knowledgeable at all,Extremely confident,Slightly confident,Not at all confident,Very confident,Slightly confident,Extremely confident,Not at all confident,Extremely confident,Moderate,Slight,Minimal,Slight,Minimal,Good,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Agree,Male,Do not wish to specify,Yes
114628000088,431822954,2024-06-14,2024-06-15,163.219.235.173,reece14@hayes.com,Kim,Kreiger,24290088,A little knowledgeable,Very confident,Not at all confident,Slightly confident,Somewhat confident,Somewhat confident,Extremely confident,Not at all confident,Not at all confident,Extensive,Moderate,Minimal,Extensive,Extensive,Moderate,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Non-binary,Hispanic or Latino,Yes
114628000089,431822954,2024-06-25,2024-06-26,245.38.18.24,earl.reinger@and.net,Enzo,Mohr,24290089,Not knowledgeable at all,Extremely confident,Slightly confident,Somewhat confident,Slightly confident,Somewhat confident,Slightly confident,Not at all confident,Slightly confident,Slight,Minimal,Moderate,Minimal,Moderate,Moderate,Agree,Agree,Disagree,Disagree,Agree,Male,Hispanic or Latino,Yes
114628000090,431822954,2024-06-22,2024-06-23,12.0.66.29,benjamine.moore@group.com,Thompson,Mann,24290090,Not knowledgeable at all,Very confident,Not at all confident,Extremely confident,Very confident,Extremely confident,Not at all confident,Very confident,Somewhat confident,Slight,Moderate,Minimal,Minimal,Moderate,Slight,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Male,White (Non-Hispanic/Latino),Yes
114628000091,431822954,2024-06-10,2024-06-11,180.158.101.80,gcummerata@hotmail.com,Rosanna,Brekke,24290091,Somewhat knowledgeable,Very confident,Slightly confident,Very confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Slight,Slight,Good,Moderate,Moderate,Minimal,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Female,White (Non-Hispanic/Latino),Yes
114628000092,431822954,2024-06-21,2024-06-22,181.112.14.81,oliva.lubowitz@yahoo.com,Lassie,Harvey,24290092,Not knowledgeable at all,Not at all confident,Not at all confident,Extremely confident,Somewhat confident,Extremely confident,Somewhat confident,Extremely confident,Extremely confident,Minimal,Minimal,Extensive,Slight,Slight,Moderate,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Female,American Indian or Alaskan Native,Yes
114628000093,431822954,2024-06-17,2024-06-18,72.236.55.239,trinity.bogan@padberg.com,Tylor,Heidenreich,24290093,Not knowledgeable at all,Somewhat confident,Extremely confident,Very confident,Extremely confident,Very confident,Not at all confident,Not at all confident,Extremely confident,Moderate,Moderate,Slight,Minimal,Minimal,Minimal,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Agree,Male,White (Non-Hispanic/Latino),No
114628000094,431822954,2024-06-11,2024-06-12,113.205.111.46,ziemann.hershel@heathcote.com,Adam,Raynor,24290094,Not knowledgeable at all,Somewhat confident,Not at all confident,Not at all confident,Not at all confident,Slightly confident,Somewhat confident,Not at all confident,Somewhat confident,Slight,Good,Slight,Slight,Slight,Moderate,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Male,Asian,Yes
114628000095,431822954,2024-06-24,2024-06-25,46.77.216.32,trilby83@and.org,Frederic,Abshire,24290095,Not knowledgeable at all,Very confident,Not at all confident,Very confident,Extremely confident,Somewhat confident,Very confident,Slightly confident,Somewhat confident,Good,Extensive,Good,Minimal,Minimal,Good,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Male,White (Non-Hispanic/Latino),No
114628000096,431822954,2024-06-12,2024-06-13,174.23.86.142,rosamond21@hotmail.com,Maryanne,Mohr,24290096,Not knowledgeable at all,Very confident,Very confident,Extremely confident,Not at all confident,Slightly confident,Very confident,Not at all confident,Very confident,Minimal,Moderate,Good,Slight,Slight,Minimal,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Female,White (Non-Hispanic/Latino),No
114628000097,431822954,2024-06-04,2024-06-05,141.166.112.106,watsica.juliann@bruen.com,Noma,Rodriguez,24290097,Not knowledgeable at all,Very confident,Not at all confident,Very confident,Slightly confident,Not at all confident,Not at all confident,Very confident,Very confident,Good,Good,Extensive,Good,Minimal,Moderate,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Female,Native Hawaiian or other Pacific Islander,Yes
114628000098,431822954,2024-06-05,2024-06-06,9.40.82.92,dietrich.myrtle@mayer.com,Fumiko,Lynch,24290098,Very knowledgeable,Somewhat confident,Not at all confident,Very confident,Very confident,Very confident,Slightly confident,Somewhat confident,Very confident,Minimal,Good,Minimal,Minimal,Moderate,Slight,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Female,White (Non-Hispanic/Latino),No
114628000099,431822954,2024-06-21,2024-06-22,230.216.246.17,dani.champlin@hotmail.com,Rheta,Ziemann,24290099,Not knowledgeable at all,Somewhat confident,Not at all confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Slight,Moderate,Slight,Extensive,Moderate,Minimal,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Female,Do not wish to specify,No
114628000100,431822954,2024-06-24,2024-06-25,185.70.255.234,ileuschke@gmail.com,Haleigh,Mills,24290100,Very knowledgeable,Extremely confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Very confident,Not at all confident,Slightly confident,Moderate,Good,Extensive,Good,Moderate,Moderate,Agree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Female,American Indian or Alaskan Native,Yes
